relative_path,class,split
train/acetaminophen/acetaminophen_0ad7b313-5d72-4cc0-97f0-1a30770350af_00267.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_c57c10fc-f182-4153-8974-ef359a5f5ac1_00142.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_1affbef6-dd27-40c2-a5d3-b121aa62496a_00408.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_d786ae07-ce57-44c7-9ba5-f4c87df115de_00445.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_50f3157b-5788-4b63-835a-e60c8dc33df9_00423.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_d9caee45-be43-45ec-927f-e7fec5c14f07_00060.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_ac2f9ce8-e402-4451-a412-e99248a6ecbe_00302.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_0c3d52c6-b292-2315-e063-6294a90a6361_00003.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_e32881f5-2bb5-4756-aa86-a09473ab590b_00109.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_66e184cd-fa32-431f-b843-9c4bea12593b_00329.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_88b68447-b016-4d5b-a5e3-c4ebccb14f8c_00042.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_b9adfb5d-6576-4ff8-a7d7-a89b867c5292_00442.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_a9979167-1a82-47d7-9602-2865f9bdd628_00364.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_bbb1b395-48d9-4859-ad52-6650961089d9_00305.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_4227a2cc-69fa-869d-e063-6294a90a1d41_00375.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_a68df74d-dd26-3ae9-e053-2995a90a08d6_00223.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_e6d4bb36-7830-7909-e053-2a95a90a6004_00309.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_e45830a0-c884-e556-e053-2995a90ab565_00062.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_e1c246a4-7a8c-4761-ab26-13b5165029cc_00107.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_ae84eb7e-a70b-4311-b2dc-ad153047a516_00441.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_e2877488-3539-cba2-e053-2995a90a6005_00233.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_1a28fea6-095f-4488-92aa-e6bd8908e17b_00406.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_b7b1d604-921d-4ae7-93de-dcf690d421b4_00304.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_2497a011-d7a0-4d69-97e2-bbf25a99b1cc_00120.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_3802bc07-3154-f36a-e063-6294a90ac1cc_00369.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_e19b561c-fb76-4355-a306-d3dc46930bf2_00148.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_ec1e59a0-bcad-49f0-b731-d15445d99370_00447.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_5151127a-4d09-413a-a08b-f76fb77e1188_00086.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_9a32bc6d-0499-48fa-a6ad-702c8a28bf5f_00140.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_29ca2855-3c07-435d-a8e1-2997fcedd088_00338.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_b1ba37b8-4558-0808-e053-2995a90a9f5e_00053.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_17dfc247-fcb6-9659-e063-6294a90a2523_00278.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_e0d06ec7-9846-4e04-8660-5fd6b2b8e423_00334.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_22a48a33-995b-481e-9e4e-1ad7ec346f44_00118.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_b04b96e0-d99b-48d1-b8b8-e2fdd8dd3f5f_00382.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_687c82eb-0a0a-44d1-8283-21a2deb4c1f7_00427.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_b1307d52-10e6-46e1-e053-2995a90a03b6_00050.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_643371f2-e330-441e-8932-b3aec4b179d2_00033.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_2256623c-7642-4c39-b022-bfaecc861f1c_00352.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_d6d47af8-5f8c-4c8c-a8c6-aa214ec23bca_00104.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_960f5676-d8c5-470b-a663-4b8d152339b4_00138.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_fbc541ac-9465-4296-bb1e-811b9d811f40_00348.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_fac4e0c6-684f-45a1-99f2-de4de4017cc8_00079.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_f395c196-62d7-47ff-b38d-af37adf5980b_00068.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_88b68447-b016-4d5b-a5e3-c4ebccb14f8c_00039.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_72847721-9f59-4af1-8f20-dc8449742918_00037.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_2e751d67-51b4-4b74-a9e8-7f3bc5636984_00016.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_360c8c62-0945-4031-b291-d40c4270b940_00084.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_88b68447-b016-4d5b-a5e3-c4ebccb14f8c_00043.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_1a28fea6-095f-4488-92aa-e6bd8908e17b_00407.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_09ba45f6-03e1-46b9-83ab-a618b2626716_00392.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_f01ab8ef-d29a-4e33-8a14-4c57ccdcc0d6_00152.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_6c4ab613-a587-4ec4-9986-f1d000bc2d23_00292.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_7a29dde6-a177-6206-e053-2991aa0a01f2_00221.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_20ac6010-84f4-eeff-e063-6294a90a50a7_00180.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_437e4fd9-c7d9-77d6-e063-6294a90a22b7_00422.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_9a106398-6d9d-2146-e053-2995a90a3fdf_00380.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_c018be7d-f7b8-45e2-97b8-8e7a71740657_00101.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_149330be-24bd-b4a4-e063-6394a90a9007_00206.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_f395c196-62d7-47ff-b38d-af37adf5980b_00069.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_27fa8190-d334-4bb9-b277-d1f44db433e3_00285.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_a6b8dc25-0fb9-1823-e053-2a95a90adf93_00225.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_ff4a2f0a-d638-4ed2-8e05-2a52afbc4909_00115.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_e27b6637-ef32-44b5-a531-b6617d02fbbf_00149.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_fdd0dadc-5313-4f6e-aef5-ca853efe5c4d_00155.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_f0d3f0ab-07ee-f068-e053-2995a90a481a_00067.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_6286e128-1288-4dc0-b14b-f04a0e2a22f9_00193.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_66244cdb-2680-4fa8-890d-32aefd490038_00291.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_a2f0285b-8550-fd26-e053-2995a90ab615_00222.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_1a01d4f7-37ed-bb92-e063-6294a90a208c_00244.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_163a1617-b7f1-4c80-e063-6394a90a74c3_00277.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_51c44970-06e5-082e-e054-00144ff88e88_00210.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_1a01b294-a5ee-ab35-e063-6394a90a4a1a_00243.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_2ce31244-9c6c-b7dd-e063-6394a90a31a8_00340.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_45735cd8-ac07-3f12-e063-6294a90a0cb2_00162.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_cf4eb4c4-68e0-4478-a81c-d3d1e66f5cc5_00102.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_27820bce-6638-4f17-ac66-62b02b76bec3_00123.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_3745aa18-a711-43ed-9bc4-1f087b3c53c0_00022.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_d83c4691-785d-d1a0-e053-2995a90ad196_00307.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_5b5c2fd2-7ebf-4970-af68-3bef9ccddf91_00289.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_e4cbfb06-d826-4d08-95d6-60305c417625_00150.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_96b0067e-aabe-df4f-e053-2995a90a4a86_00366.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_7373ad43-0afa-4d21-8afc-a737e9f19290_00429.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_90cea23f-5ddb-7a36-e053-2a95a90a20cf_00045.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_7590d0c6-121e-4016-b6bb-534c5d0a7970_00395.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_f7e925f4-7da6-4157-a97f-e6a3e399911f_00077.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_c13ced61-c491-4fc2-b83f-78c6d9ad8546_00386.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_d4c32e70-778a-4d66-b9d0-03944a528421_00059.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_5f8f9644-48c5-4556-a0a4-7bdc9a629daa_00424.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_5172dc01-4e7f-3307-e054-00144ff8d46c_00209.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_5a8e4320-bae1-4831-b66b-9babfe8888d6_00094.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_5efd6c61-74ed-4253-896a-e4a40bd8f25b_00127.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_b4d8860b-d72f-4789-945e-1c6420a8efab_00054.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_1d456d07-fca2-4d43-92c0-f3b3c8b54420_00012.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_b13d5132-cb91-3cf6-e053-2a95a90aa47c_00227.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_d5352861-6926-f1b0-e053-2a95a90a7d66_00230.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_1a304570-88b6-4c16-a8b4-c064bfa5d95a_00279.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_30d41dc3-e2ef-4cad-b63c-d634bc749aa1_00125.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_90cea23f-5ddb-7a36-e053-2a95a90a20cf_00044.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_04c9ccda-64aa-0cd0-e063-6394a90a32bf_00349.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_e0d06ec7-9846-4e04-8660-5fd6b2b8e423_00332.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_392a846e-7325-462d-b19b-8afda44c5cb0_00321.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_0b6cb92a-e2a0-4485-aa77-74bee77044fe_00274.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_99e45e83-37a3-44df-9a2a-98ba7457a5bb_00437.jpg,acetaminophen,train
